CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NIVEL_DEP;NO_RAZAO_SOCIAL;NO_FANTASIA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_ATIVIDADE;CO_CLIENTELA;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE;CO_NATUREZA_JUR;CO_TIPO_UNIDADE;CO_TIPO_ESTABELECIMENTO;CO_ATIVIDADE_PRINCIPAL;STAFF_ACS_ENDEMIAS;STAFF_ADMIN_GESTAO_APOIO;STAFF_DIAG_LAB_IMAGEM;STAFF_ENFERMAGEM;STAFF_FARMACIA;STAFF_MEDICOS;STAFF_ODONTOLOGIA;STAFF_OUTROS;STAFF_OUTROS_SUPERIOR_SAUDE;STAFF_SERVICOS_GERAIS;STAFF_TRANSPORTE_URGENCIA
4,3149E+12;3654087;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FarmáciaS;CORONEL MARCOS;2523;;PEDRA REDONDA;91760000;4;1.0;43;431490;-30.13;-51.23;2046;;Farmácia;8.0;0;0;0;0;5;0;0;0;0;0;0
4,3149E+12;3714748;;3;1;ASSOCIACAO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RGS;AFISVEC;URUGUAI;155;CONJ 1010;CENTRO;90010140;4;1.0;36;431490;-30.03;-51.23;3999;;Ambulatório;1.0;0;2;0;0;0;0;0;2;0;0;0
4,3149E+12;3535908;;1;1;PABLO BREA WINCKLER;PABLO BREA WINCKLER;RUA 24 DE OUTUBRO;1100;S 307;AUXILIADORA;90510001;4;1.0;22;431490;-30.02;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;3596877;;3;1;INSTITUTO DE PESQUISA E ENSINO MEDICO DO ESTADO DE MINAS GER;IPEMED RS;ANITA GARIBALDI;841;;MONT SERRAT;90450001;4;1.0;36;431490;-30.03;-51.19;2062;;Ambulatório;1.0;0;3;0;1;0;9;0;0;0;0;0
4,3149E+12;3697223;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FARMCIAS;AV PANAMERICANA;670;;JARDIM LINDOIA;91050000;4;1.0;43;431490;-30.0;-51.15;2046;;Farmácia;8.0;0;0;0;0;3;0;0;0;0;0;0
4,3149E+12;423963;;1;1;LUCAS GOBETTI DA LUZ;LUCAS GOBETTI DA LUZ;RUA CARLOS GOMES;1492;701;PETROPOLIS;90480002;4;1.0;22;431490;-30.03;-51.18;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;493767;;3;1;SB PRESTACAO DE SERVICOS DE RADIOLOGIA SOCIEDADE SIMPLES LTD;SB PRESTACAO DE SERVICOS DE RADIOLOGIA SOCIEDADE SIMPLES LTD;RUA DOS ANDRADAS;945;;CENTRO;90020005;4;1.0;39;431490;-30.03;-51.23;2240;;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;403431;;1;1;GUSTAVO OSTROWSKI MENNA BARRETO;GUSTAVO OSTROWSKI MENNA BARRETO;AV SOLEDADE;569;T ALFA SALA 912;TRES FIGUEIRAS;90470340;4;1.0;22;431490;-30.03;-51.18;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;493872;;1;1;PATRICIA DA SILVA PASSOS;PATRICIA DA SILVA PASSOS;RUA DR VALE;555;206;MOINHOS DE VENTO;90560010;4;1.0;22;431490;-30.03;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;423955;;3;1;SANTOS MATTOS FISIOTERAPIA LTDA;EQUILIBRE CLINICA MULTIDISCIPLINAR;AV WENCESLAU ESCOBAR;3033;503;TRISTEZA;91900000;4;1.0;36;431490;-30.11;-51.25;2062;;Ambulatório;1.0;0;1;0;0;0;0;0;0;1;0;0
4,3149E+12;426679;;1;1;ALOISIO JOSE MARQUES JUNIOR;ALOISIO JOSE MARQUES JUNIOR;AV CRISTOVAO COLOMBO;2185;326;FLORESTA;90560005;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;431176;;3;1;NABECHIMA CLINICA ODONTOLOGICA LTDA;NABECHIMA CLINICA ODONTOLOGICA;RUA SENHOR DOS PASSOS;235;;CENTRO HISTORICO;90020180;4;1.0;36;431490;-30.03;-51.22;2062;;Ambulatório;1.0;0;0;0;0;0;0;3;0;0;0;0
4,31491E+12;5776104;;3;1;ADVANCED ODONTOLOGIA INTEGRADA SS LTDA;ADVANCED ODONTOLOGIA INTEGRADA SS LTDA;AV INDEPENDENCIA;925;;INDEPENDENCIA;90020110;4;1.0;22;431490;-30.03;-51.21;2240;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;9844821;;1;1;CRISTIANE JUGUERO MARTINS;CRISTIANE JUGUERO MARTINS;AV GETULIO VARGAS;901;1202;MENINO DEUS;90150001;4;1.0;22;431490;-30.05;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9846182;;1;1;CARINE BREMM TAJES;CARINE BREMM TAJES;AV SOLEDADE;569;912;TRES FIGUEIRAS;90470340;4;1.0;22;431490;-30.03;-51.18;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9858962;;3;1;NC SERVICOS MEDICOS SOCIEDADE SIMPLES;NC SERVICOS MEDICOS SOCIEDADE SIMPLES;RUA DOM CLAUDIO JOSE GONCALVES PONCE DE LEAO;240;1812 BLOCO 04;VILA IPIRANGA;91370170;4;1.0;36;431490;-30.02;-51.15;2232;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,31491E+12;9867619;;1;1;LEONEL ROBERTO GUZMAN ARAGON;LEONEL ROBERTO GUZMAN ARAGON;AV INDEPENDENCIA;172;SALA 603;INDEPENDENCIA;90035070;4;1.0;22;431490;-30.03;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;9784063;;3;1;FUNDACAO LEONISTICA DE ASSISTENCIA SOCIAL DISTRITO LD 3;FUNDACAO LEONISTICA DE ASSISTENCIA SOCIAL DISTRITO LD 3;FRANCISCO LEONARDO TRUDA;40;CONJ 175;CENTRO;90010050;4;1.0;36;431490;-30.03;-51.23;3069;;Ambulatório;1.0;0;1;0;0;0;1;0;0;0;0;0
4,31491E+12;9840974;;3;1;LABORATORIO ENDOCRIMETA DE ANALISES CLINICAS LTDA;LABORATORIO ENDOCRIMETA;AV OTTO NIEMAYER;2500;LOJA 108;TRISTEZA;91910001;4;1.0;39;431490;-30.11;-51.25;2062;;Unidade de Apoio Diagnóstico;2.0;0;2;3;0;1;0;0;1;0;0;0
4,31491E+12;9716920;;3;1;FUNDACAO DE ASSISTENCIA A SAUDE DA ASSOCIACAO DO MINISTERIO;FAS AMP RS;RUA AURELIANO DE FIGUEIREDO PINTO;501;502;PRAIA DE BELAS;90050191;4;1.0;36;431490;-30.04;-51.23;3069;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9809074;;1;1;RAISA BRESSAN VALENTINI;RAISA BRESSAN VALENTINI;RUA GOMES JARDIM;201;905;SANTANA;90620130;4;1.0;22;431490;-30.05;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9762086;;1;1;FRANCIELE BATTISTI;FRANCIELE BATTISTI;AV OSVALDO ARANHA;1022;1505;BOM FIM;90035191;4;1.0;22;431490;-30.03;-51.22;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;9903860;;3;1;LLH SERVICOS MEDICOS SOCIEDADE SIMPLES;LLH SERVICOS MEDICOS;AV GRECIA;1000;502 BL B;PASSO DAREIA;91350070;4;1.0;36;431490;-30.01;-51.16;2062;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,31491E+12;9986014;;3;1;CLINICA MEDICA BORGHETTI EIRELI;CLINICA MEDICA BORGHETTI;RUA TOBIAS DA SILVA;99;206;MOINHOS DE VENTO;90570020;4;1.0;36;431490;-30.02;-51.2;2062;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9873732;;3;1;CLINICA JB SERVICOS DE SAUDE LTDA;CLINICA JB;RUA 24 DE OUTUBRO;1440;SALA 1308;AUXILIADORA;90510001;4;1.0;36;431490;-30.02;-51.19;2062;;Ambulatório;1.0;0;0;0;0;0;1;0;0;1;0;0
4,31491E+12;9878874;;3;1;CLINICA MEDICA A S ATENDIMENTO MEDICO EM PSIQUIATRIA E PSICO;CLINICA MEDICA A S ATENDIMENTO MEDICO;RUA DR FLORENCIO YGARTUA;391;SALA 305;MOINHOS DE VENTO;90430010;4;1.0;36;431490;-30.02;-51.21;2232;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,31491E+12;7694598;;1;1;GLAUCIA WEYNE SCHUCH;GLAUCIA WEYNE SCHUCH;RUA 24 DE OUTUBRO;1681;702;MOINHOS DE VENTOS;90510003;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31491E+12;7669224;;3;1;BELTRAUMA ORTOPEDIA E TRAUMATOLOGIA SOCIEDADE SIMPLES LTDA;BELTRAUMA ORTOPEDIA E TRAUMATOLOGIA;RUA SANTA RITA;53;1003;FLORESTA;90540070;4;1.0;36;431490;-30.02;-51.21;2240;;Ambulatório;1.0;0;0;0;0;0;5;0;0;0;0;0
4,31491E+12;7674562;;1;1;ROSANE SCHMIDT;ROSANE SCHMIDT;RUA DR FLORENCIO YGARTUA;270;807;MOINHOS DE VENTO;90430010;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;7675992;9,29636E+13;3;3;PREFEITURA MUNICIPAL DE PORTO ALEGRE;UNIDADE DE SAUDE INDIGENA DE PORTO ALEGRE;ESTRADA JOAO DE OLIVEIRA REMIAO;9105;;LOMBA DO PINHEIRO;91560000;3;1.0;2;431490;-30.1;-51.12;1244;;Unidade Básica de Saúde;12.0;1;1;0;4;0;1;1;1;0;0;0
4,31491E+12;7684908;;1;1;CRISTINA PINTO GONCALVES;CRISTINA PINTO GONCALVES;AV PRAIA DE BELAS;2124;902;PRAIA DE BELAS;90110001;4;1.0;22;431490;-30.05;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;7688954;;1;1;CARINA GRAZIOTTIN COLOSSI;CARINA GRAZIOTTIN COLOSSI;AV CRISTOVAO COLOMBO;2948;308 309;FLORESTA;90560002;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;7705565;;3;1;SALUTA CLINICA ODONTOLOGICA LTDA;SALUTA ODONTOLOGIA;RUA DOM PEDRO II;616;1 ANDAR;HIGIENOPOLIS;90550140;4;1.0;36;431490;-30.01;-51.18;2062;;Ambulatório;1.0;0;0;0;0;0;0;2;0;0;0;0
4,31491E+12;7688962;;1;1;LEONARDO PEREZ ZENI;LEONARDO PEREZ ZENI;AV CRISTOVAO COLOMBO;2948;308 309;FLORESTA;90560002;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,31491E+12;7686463;;3;1;FLX DIAGNOSTICO E TERAPIA SOCIEDADE EMPRESARIA LTDA;INSTITUTO DE MEDICINA DO ESPORTE;RUA COSTA;30;;MENINO DEUS;90110270;4;1.0;36;431490;-30.05;-51.23;2062;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;7694490;;3;1;ACJ 3M ATENDIMENTO DOMICILIAR LTDA EPP;ACG HOME CARE;AV CACAPAVA;461;02;PETROPOLIS;90460130;4;1.0;77;431490;-30.04;-51.18;2062;;Ambulatório;1.0;0;0;0;1;0;1;0;0;0;0;0
4,31491E+12;7922396;;1;1;CYNTHIA ROCHA DULLIUS;CYNTHIA ROCHA DULLIUS;AV IPIRANGA;6690;801;JARDIM BOTANICO;90610000;4;1.0;22;431490;-30.05;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;7942656;9,29636E+13;3;3;MUNICIPIO DE PORTO ALEGRE;SERVICO DE ESTOMATERAPIA SANTA MARTA;RUA CAPITAO MONTANHA;27;;CENTRO;90010040;4;3.0;36;431490;-30.03;-51.23;1244;;Ambulatório;1.0;0;0;0;0;0;0;0;0;0;0;0
4,31491E+12;7950683;;1;1;JULIANA BALDASSO SIQUEIRA;JULIANA BALDASSO SIQUEIRA;RUA FERNANDES VIEIRA;637;307;BOM FIM;90035091;4;1.0;22;431490;-30.11;-51.26;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31491E+12;7958102;;3;1;CENTRO DE QUIMIOTERAPIA ONCOCLINICAS SA;CENTRO DE QUIMIOTERAPIA ONCOCLINICAS SA;RUA TOBIAS DA SILVA;126;;MOINHOS DE VENTO;90570020;4;1.0;36;431490;-30.02;-51.2;2054;;Ambulatório;1.0;0;1;0;12;9;135;0;1;1;0;0
4,31491E+12;7958870;;1;1;MARTHA HELENA AVILA CESAR;MARTHA HELENA AVILA CESAR;VIGARIO JOSE INACIO;399;309;CENTRO;90020100;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31491E+12;7894694;;1;1;CRISTINA KIELING;CRISTINA KIELING;AV EDGAR PIRES DE CASTRO;1550;SALA 203;HIPICA;91788000;4;1.0;22;431490;-30.16;-51.17;4000;;Ambulatório;1.0;0;0;0;0;0;0;2;0;0;0;0
4,31491E+12;7670389;;1;1;GABRIELLE MORETO FERRAO DA SILVA;GABRIELLE MORETO FERRAO DA SILVA;RUA DOS ANDRADAS;1137;1914;CENTRO;90020007;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31491E+12;7844018;;3;1;SABRE SERVICOS ODONTOLOGICOS SOCIEDADE SIMPLES LTDA;SABRE SERVICOS ODONTOLOGICOS;RUA FRANCISCO TREIN;56;07;CRISTO REDENTOR;91350200;4;1.0;36;431490;-30.02;-51.16;2062;;Ambulatório;1.0;0;0;0;0;0;0;5;0;0;0;0
4,3149E+12;2264439;9,29636E+13;3;3;PREFEITURA MUNICIPAL DE PORTO ALEGRE;UNIDADE DE SAUDE MORRO DOS SARGENTOS;ARGEMIRO OGANDA CORREA;330;;SERRARIA;91770810;3;1.0;2;431490;-30.03;-51.23;1244;;Unidade Básica de Saúde;12.0;3;3;0;6;0;4;1;1;0;0;0
4,3149E+12;2264641;9,29636E+13;3;3;PREFEITURA MUNICIPAL DE PORTO ALEGRE;UNIDADE DE SAUDE NOVA GLEBA;RUA PAULO HENRIQUE TENCATEN;171;;RUBEM BERTA;91170410;3;1.0;2;431490;-30.0;-51.09;1244;;Unidade Básica de Saúde;12.0;2;2;0;4;0;1;0;0;0;1;0
4,3149E+12;3267385;;1;1;NANDERSON VIEIRA;NANDERSON VIEIRA;AVBENJAMIN CONSTANT;925;216;SAO JOAO;90550004;4;3.0;22;431490;-30.01;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;3267431;;1;1;MARIA DA GRACA REBOLLO ZANI;MARIA DA GRACA REBOLLO ZANI;BENJAMIN CONSTANT;925;216;SAO JOAO;90550004;4;3.0;22;431490;-30.0;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;3267466;;1;1;OLICIOS RIBEIRO BIRNFELD;OLICIOS RIBEIRO BIRNFELD;AVCUBANOS;175;;SAO JOSE;91530040;4;3.0;22;431490;-30.07;-51.17;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;3269280;;1;1;MARLISE CAPUM TEIXEIRA;MARLISE CAPUM TEIXEIRA;RUA ANDRADAS;1781;1405;CENTRO;90020013;4;3.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3149E+12;3270181;;1;1;ANA ELISA RODRIGUES;ANA ELISA RODRIGUES;RUA ANDRADAS;1781;1405;CENTRO;90020013;4;3.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3149E+12;3276589;;3;1;BIOPSICO PSIQUIATRIA E PSICOLOGIA;BIOPSICO PSIQUIATRIA E PSICOLOGIA;R GREGOR MENDEL;105;;BOA VISTA;90480150;4;1.0;22;431490;-30.03;-51.23;2240;;Ambulatório;1.0;0;0;0;0;0;1;0;0;1;0;0
4,3149E+12;3306453;9,29636E+13;3;3;PREFEITURA MUNICIPAL DE PORTO ALEGRE;UNIDADE DE SAUDE NOSSA SENHORA DAS GRACAS;RUA DIOMARIO MOOJEN;100;;CRISTAL;90820030;3;1.0;2;431490;-30.09;-51.24;1244;;Unidade Básica de Saúde;12.0;2;2;0;5;0;4;1;2;0;0;0
4,31491E+12;5441501;;1;1;JEFFERSON WAGNER;JEFFERSON WAGNER;PRACA JULIO DE CASTILHOS;20;CJ 401;INDEPENDENCIA;90430020;4;1.0;22;431490;-30.03;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;3484912;;3;1;CION CENTRO INTEGRADO DE ONCOLOGIA LTDA;CION CENTRO INTEGRADO DE ONCOLOGIA LTDA;DESEMB ESPIRIDIAO DE LIMA MEDEIROS;71;CASA;TRES FIGUEIRAS;91330020;4;1.0;36;431490;-30.03;-51.18;2062;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,3149E+12;3475603;;3;1;ENDOGASTROCLINICA ENDOSCOPIA DIGESTIVA EIRELI ME;ENDOGASTROCLINICA;RUA ALMIRANTE BARROSO;768;TERREO;FLORESTA;90220020;4;3.0;39;431490;-30.02;-51.21;2062;;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;3484068;;3;1;PROGASTRO SOCIEDADE SIMPLES LTDA;PROGASTRO;MOSTARDEIRO;157;403;MOINHOS;90430001;4;3.0;22;431490;-30.02;-51.21;2232;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,3149E+12;3707016;;1;1;MARCIA SIBEMBERG TURIK;MARCIA SIBEMBERG TURIK;LUCAS DE OLIVEIRA;1841;201;PETROPOLIS;90460001;4;3.0;22;431490;-30.04;-51.18;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;3729559;9,29636E+13;3;3;SECRETARIA MUNICIPAL DE SAUDE;SECRETARIA MUNICIPAL DE SAUDE DE PORTO ALEGRE;AVENIDA JOAO PESSOA;325;1 ANDAR;CIDADE BAIXA;90040010;3;;68;431490;-30.04;-51.23;1244;;Central de Gestão em Saúde;22.0;1;169;1;92;14;71;15;46;28;28;0
4,3149E+12;3744841;;3;1;INAPE INSGHT NUCLEO DE ATEND PSICOTERAP E ESTUDOS LTDA;INAPE;VENANCIO AIRES;1191;92;CIDADE BAIXA;90040193;4;3.0;36;431490;-30.04;-51.22;2062;;Ambulatório;1.0;0;0;0;0;0;0;0;0;3;0;0
4,31491E+12;6203175;;1;1;ROSELI KRIPKA;ROSELI KRIPKA;AV VENANCIO AIRES;504;301;FARROUPILHA;90040193;4;3.0;22;431490;-30.04;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6203523;;1;1;ISABEL NEMOTO VERGARA SASADA;ISABEL NEMOTO VERGARA SASADA;RUA DONA LAURA;45;304;RIO BRANCO;90430091;4;1.0;22;431490;-30.04;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;6207251;;1;1;JORGE ROBERTO CANTERGI;JORGE ROBERTO CANTERGI;RUA COSTA;30;705;MENINO DEUS;90110270;4;1.0;22;431490;-30.06;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6207316;;1;1;PAULO WANDERLEY KLEIN;PAULO WANDERLEY KLEIN;RUA RAMIRO BARCELOS;910;903;FLORESTA;90035001;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6211356;;1;1;ALEXANDRE ROTBAND;ALEXANDRE ROTBAND;RUA FRANCISCO FERRER;453;405;RIO BRANCO;90420140;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,31491E+12;6213405;;1;1;ROMILDA SALETTE MISSIO;ROMILDA SALETTE MISSIO;RUA FELIPE CAMARAO;626;202;RIO BRANCO;90035140;4;1.0;22;431490;-30.04;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;6216307;;1;1;DANIELLA ESQUICI OLIVEIRA;DANIELLA ESQUICI OLIVEIRA;MENEZES PAREDES;278;;NONOAI;90830070;4;1.0;22;431490;-30.09;-51.22;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31491E+12;6216528;;1;1;ANDRE CARUSO LEMOS;ANDRE CARUSO LEMOS;RUA URUGUAI;335;86;CENTRO;90010140;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;6215300;;1;1;LUIS FERNANDO PINOS BARBOSA;LUIS FERNANDO PINOS BARBOSA;CEL BORDINI;830;302;MOINHOS DE VENTO;90440000;4;3.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;0;0;0
4,31491E+12;6218903;;3;1;FERREIRA CLINICA E CIRURGIA DE OLHOS LTDA;CLINICA DE OLHOS DR PAULO FERREIRA;MOSTARDEIRO;291;406 407;MOINHOS DE VENTO;90430001;4;1.0;36;431490;-30.02;-51.21;2240;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6219314;;1;1;HUMBERTO FERRARI NETO;HUMBERTO FERRARI NETO;RUA DOS ANDRADAS;1781;704;CENTRO;90020013;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6219357;;3;1;CLINICA ODONTOLOGICA J V SOCIEDADE SIMPLES LTDA;CLINICA ODONTOLOGICA J V SOCIEDADE SIMPLES LTDA;RUA DOS ANDRADAS;1781;1704;CENTRO;90430000;4;1.0;36;431490;-30.03;-51.23;2240;;Ambulatório;1.0;0;0;0;0;0;0;2;0;0;0;0
4,31491E+12;6220835;;3;1;PHYSIUS FISIOTERAPIA E TERAPIA OCUPACIONAL S S LTDA;PHYSIUS;RUA MARQUES DO POMBAL;1824;202;MOINHOS DE VENTO;90540000;4;1.0;36;431490;-30.02;-51.21;2062;;Ambulatório;1.0;0;0;0;0;0;0;0;0;2;0;0
4,3149E+12;3606899;;1;1;ROSE PLATNIK;ROSE PLATNIK;AV PROTASIO ALVES;2302;CONJ 306;PETROPOLIS;90410006;4;1.0;22;431490;-30.04;-51.18;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;2237660;;3;1;SANATORIO BELEM;HOSPITAL PARQUE BELEM;AV PROF OSCAR PEREIRA;8300;;BELEM VELHO;91712320;3;3.0;5;431490;-30.11;-51.18;3999;;;;0;0;0;0;0;0;0;0;0;0;0
4,3149E+12;3392104;;3;1;CITOCLIN LABORATORIO DE ANATOMIA PATOLOGICA E CITOPATOLOGI;CITOCLIN;ANDRADAS;1727;SALA 15 E 81 E 85;CENTRO HISTORICO;90020013;4;1.0;39;431490;-30.03;-51.23;2062;;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;3;0;1;0;0;0
4,3149E+12;3392139;;1;1;KEYLLA TEMPEL JUNG;KEYLLA TEMPEL JUNG;AVENIDA PALMEIRA;27;605;PETROPOLIS;90470300;4;3.0;22;431490;-30.04;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3149E+12;3392201;;3;1;NEUROLOGIKA SERVICOS MEDICOS EM NEUROLOGIA LTDA;NEUROLOGIKA;INDEPENDENCIA;1183;CONJ 901 902;INDEPENDENCIA;90035072;4;3.0;36;431490;-30.03;-51.21;2062;;Ambulatório;1.0;0;0;0;0;0;4;0;0;0;0;0
4,31491E+12;7877714;;1;1;LUCIANO REQUIAO REGGIANI;LUCIANO REQUIAO REGGIANI;RUA GENERAL VITORINO;53;163;CENTRO;90020171;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;6347185;;1;1;JOSE ROQUE GUIMARAES;JOSE ROQUE GUIMARAES;RUA DOS ANDRADAS;1781;501;CENTRO;90020013;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6348408;;3;1;DANILO AMARAL MACHADO;DANILO AMARAL MACHADO;RUA DOA ANDRADAS;1137;CONJ 1616;CENTRO;90020900;4;1.0;36;431490;-30.03;-51.23;2135;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6640478;;3;1;CENTRO DE RECUPERACAO E INSERCAO SOCIAL DO DEPENDENTE QUIMIC;CNH CENTRO NOVOS HORIZONTES;RUA RIACHUELO;1606;SALA 11;CENTRO;90010273;4;1.0;36;431490;-30.03;-51.23;3999;;Ambulatório;1.0;0;0;0;0;0;0;0;1;1;0;0
4,31491E+12;6645844;;3;1;GODLIVE CLINICA ODONTOLOGICA LTDA ME;DURAL DENTE;RUA DOS ANDRADAS;1284;71 72 E 73;CENTRO;90020008;4;1.0;36;431490;-30.03;-51.23;2062;;Ambulatório;1.0;0;0;0;0;0;0;4;0;0;0;0
4,31491E+12;6314023;;3;1;UNIMED PORTO ALEGRE COOPERATIVA MEDICA LTDA;CENTRO DE ONCOLOGIA UNIMED PORTO ALEGRE;AV CRISTOVAO COLOMBO;545;PREDIO 3 BLOCO B;FLORESTA;90560000;4;1.0;36;431490;-30.03;-51.21;2143;;Ambulatório;10.0;0;0;0;28;15;13;0;0;2;0;0
4,31491E+12;6317197;;1;1;URSULA MARGARETH KELLER;URSULA MARGARETH KELLER;RUA DR FLORENCIO YGARTUA;288;605;MOINHOS DE VENTO;90430010;4;1.0;22;431490;-30.03;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6317294;;1;1;MARTHA INES CERESER MUNHOZ;MARTHA INES CERESER MUNHOZ;RUA DR FLORENCIO YGARTUA;288;605;MOINHOS DE VENTO;90430010;4;1.0;22;431490;-30.02;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6320740;;1;1;LILA DORNELLES GOMES SOUTO;LILA DORNELLES GOMES SOUTO;RUA 24 DE OUTUBRO;111;601;MOINHOS DE VENTO;90510002;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
